year,month,CPI,temperature,all sectors,commercial,industrial,date,month_sin,month_cos
2001,1,0.0,0.036282622533418296,0.4160989731107685,0.1804294198264047,0.5299545216022388,2001-01-01,0.75,0.9330127018922194
2001,2,0.0052754938239041324,0.09208572034797367,0.13899010556939784,0.009428962996802293,0.4762112996326744,2001-02-01,0.9330127018922192,0.75
2001,3,0.008290061723277729,0.2514322087842139,0.11712010139270945,0.05688442211055289,0.531922336889977,2001-03-01,1.0,0.5
2001,4,0.013565555547181862,0.4973477615107152,0.009772010427318456,0.0020100502512563345,0.4764299457757564,2001-04-01,0.9330127018922194,0.2500000000000001
2001,5,0.01959469134592906,0.7040101845957989,0.08249679547189381,0.11914116034719058,0.6445251005772255,2001-05-01,0.75,0.06698729810778065
2001,6,0.021855617270459596,0.8402291534054742,0.2662566791007157,0.2687437185929649,0.6083172992828403,2001-06-01,0.5000000000000001,0.0
2001,7,0.01808740739624226,0.9514109908762998,0.4519752855270547,0.3874828688899041,0.5167920237887,2001-07-01,0.2500000000000001,0.06698729810778059
2001,8,0.01808740739624226,0.9475917674517292,0.5700387423847448,0.4508177249885792,0.6751355606087106,2001-08-01,0.06698729810778076,0.24999999999999975
2001,9,0.024116543194989903,0.7651177593889245,0.3088661011334668,0.2878574691640019,0.4929595941927585,2001-09-01,0.0,0.4999999999999999
2001,10,0.01959469134592906,0.5247188627201358,0.1045972376247606,0.15398812243033344,0.5154364177015918,2001-10-01,0.0669872981077807,0.75
2001,11,0.017333765421398972,0.37704222363674944,0.0,0.041571493832800455,0.3741472800419801,2001-11-01,0.24999999999999975,0.9330127018922192
2001,12,0.01205827159749484,0.13749204328453213,0.1121728860916278,0.08195523069894928,0.2939916039881054,2001-12-01,0.4999999999999999,1.0
2002,1,0.015072839496868662,0.10269467430511348,0.27316261719931423,0.11837368661489278,0.3009445513381141,2002-01-01,0.75,0.9330127018922194
2002,2,0.020348333320772797,0.14322087842138764,0.0770094911641439,0.0,0.2930295609585447,2002-02-01,0.9330127018922192,0.75
2002,3,0.027884753069207013,0.2100572883513686,0.1038843201359585,0.047400639561443685,0.3980671680951544,2002-03-01,1.0,0.5
2002,4,0.03542117281764145,0.5060471037555698,0.03537222934339579,0.048752855185016035,0.4107049151652964,2002-04-01,0.9330127018922194,0.2500000000000001
2002,5,0.03542117281764145,0.6291109696583916,0.11730013106159888,0.1466057560529923,0.5729403533321671,2002-05-01,0.75,0.06698729810778065
2002,6,0.03617481479248474,0.8746021642266073,0.3127907479152563,0.2732206486980357,0.5697481196431693,2002-06-01,0.5000000000000001,0.0
2002,7,0.03768209874217154,0.9804795247188628,0.6067071853441448,0.4574691640018274,0.7331205177540667,2002-07-01,0.2500000000000001,0.06698729810778059
2002,8,0.042203950591232164,0.9170379800551668,0.612684170351274,0.4544175422567383,0.7393300682175963,2002-08-01,0.06698729810778076,0.24999999999999975
2002,9,0.04446487651576248,0.7895183534903458,0.4138089957224949,0.36286888990406574,0.5679552212698966,2002-09-01,0.0,0.4999999999999999
2002,10,0.04672580244029279,0.4710375556970083,0.22427376031570007,0.2807126541799909,0.5521252405107573,2002-10-01,0.0669872981077807,0.75
2002,11,0.04672580244029279,0.2616168045830681,0.07201186755577328,0.09399725902238476,0.36505160048976704,2002-11-01,0.24999999999999975,0.9330127018922192
2002,12,0.043711234540918964,0.11542541905368132,0.2407212708654385,0.1480676107811787,0.3541192933356654,2002-12-01,0.4999999999999999,1.0
2003,1,0.049740370339666384,0.06726076808826653,0.3689095963014706,0.3217176793056191,0.41411579499737616,2003-01-01,0.75,0.9330127018922194
2003,2,0.060291357987474425,0.06683640992998086,0.2103178603833913,0.1879945180447693,0.3567867762812664,2003-02-01,0.9330127018922192,0.75
2003,3,0.06858141971075216,0.28983662210905997,0.1543862428528222,0.21249885792599368,0.4547839776106346,2003-03-01,1.0,0.5
2003,4,0.06556685181137856,0.4720984510927222,0.02647156251350213,0.15959798994974886,0.511631974811964,2003-04-01,0.9330127018922194,0.2500000000000001
2003,5,0.06330592588684825,0.6649692340335243,0.11344749614736505,0.27168570123343994,0.5798933006821758,2003-05-01,0.75,0.06698729810778065
2003,6,0.06481320983653505,0.8149798429874815,0.2694396036466811,0.3920694380995888,0.6494665034108795,2003-06-01,0.5000000000000001,0.0
2003,7,0.06632049378622208,0.9724167197114364,0.5845563348839888,0.6264412973960711,0.7160223893650515,2003-07-01,0.2500000000000001,0.06698729810778059
2003,8,0.07159598761012598,0.95523021430087,0.6393573660939322,0.64455002284148,0.8386391464054572,2003-08-01,0.06698729810778076,0.24999999999999975
2003,9,0.07611783945918638,0.7494165075323571,0.38566675788169896,0.466368204659662,0.6263774707014167,2003-09-01,0.0,0.4999999999999999
2003,10,0.07461055550949958,0.5709739019732654,0.17532009275128546,0.3487437185929649,0.6832254679027461,2003-10-01,0.0669872981077807,0.75
2003,11,0.07084234563528248,0.2696796095904944,0.07160139991070524,0.21295568752855187,0.5162672730453033,2003-11-01,0.24999999999999975,0.9330127018922192
2003,12,0.06933506168559568,0.11988117971568002,0.2938228220010657,0.3091640018273185,0.4779604687773306,2003-12-01,0.4999999999999999,1.0
2004,1,0.07611783945918638,0.014852535539995769,0.3947834603142597,0.3349474645957058,0.4138971488542942,2004-01-01,0.75,0.9330127018922194
2004,2,0.08365425920762083,0.08338637810311901,0.2405124364495268,0.23254454088624946,0.3633898898023436,2004-02-01,0.9330127018922192,0.75
2004,3,0.09269796290574206,0.37704222363674944,0.18109544452925846,0.262768387391503,0.523438866538394,2004-03-01,1.0,0.5
