year,month,CPI,temperature,all sectors,commercial,industrial,date,month_sin,month_cos
2007,5,0.24756385231631883,0.6936134097178017,0.2863623925222878,0.504486066697122,0.6945513381143953,2007-05-01,0.75,0.06698729810778065
2007,6,0.2506010294749377,0.8535964353914705,0.5038886408480117,0.6651621745089082,0.7090257127864263,2007-06-01,0.5000000000000001,0.0
2007,7,0.2502015992282707,0.9560789306174413,0.7172958103495455,0.7852352672453176,0.7722144481371345,2007-07-01,0.2500000000000001,0.06698729810778059
2007,8,0.24732268688436876,0.9548058561425845,0.8665260034853743,0.9049611694837827,0.9076875983907646,2007-08-01,0.06698729810778076,0.24999999999999978
2007,9,0.25164105540022175,0.7806068321663486,0.6084354701654833,0.7116857012334399,0.7027287038656636,2007-09-01,0.0,0.4999999999999999
2007,10,0.25500229860802337,0.5737322300021219,0.3942577736811026,0.6126998629511191,0.7669232114745492,2007-10-01,0.0669872981077807,0.75
2007,11,0.2643549955158302,0.3049013367281985,0.2395474774242794,0.4321973503883052,0.6017141857617632,2007-11-01,0.24999999999999978,0.9330127018922192
2007,12,0.2632923603313011,0.07596011033312111,0.3936888799274121,0.4560621288259479,0.5407993702991076,2007-12-01,0.4999999999999999,1.0
2008,1,0.2711603825486666,0.013367281985996127,0.5269900479599039,0.5136592051164917,0.5130750393563055,2008-01-01,0.75,0.9330127018922194
2008,2,0.27578020785445667,0.10736261404625513,0.3749009836821109,0.4284330744632252,0.442802168969739,2008-02-01,0.9330127018922193,0.75
2008,3,0.28960953809283363,0.25928283471249736,0.29950455835121637,0.4090269529465509,0.5308728354031835,2008-03-01,1.0,0.5
2008,4,0.29936920166705616,0.44048376830044567,0.17951838462978675,0.3752581087254454,0.5395312226692321,2008-04-01,0.9330127018922194,0.2500000000000001
2008,5,0.31300258499197375,0.6305962232123914,0.25378422364005604,0.4846413887619918,0.7261238411754416,2008-05-01,0.75,0.06698729810778065
2008,6,0.3294545893028058,0.8478676002546148,0.5441072688779112,0.7020922795797166,0.6938079412279166,2008-06-01,0.5000000000000001,0.0
2008,7,0.338113935593757,0.9429238277105878,0.7733570492417152,0.8610507080858838,0.7507871261150951,2008-07-01,0.2500000000000001,0.06698729810778059
2008,8,0.3314969590546317,0.9047315934648845,0.7116356775596617,0.7902238465052536,0.7518803568305055,2008-08-01,0.06698729810778076,0.24999999999999978
2008,9,0.32921342387085595,0.7547209845109271,0.4959601342301212,0.682284148012791,0.6363477348259576,2008-09-01,0.0,0.4999999999999999
2008,10,0.31255793622681627,0.5164438786335668,0.2788875606699983,0.5463499314755595,0.5599965016617103,2008-10-01,0.0669872981077807,0.75
2008,11,0.28129686711031066,0.30299172501591354,0.18216122016908387,0.39221562357240747,0.35774881931082714,2008-11-01,0.24999999999999978,0.9330127018922192
